"MABP" "CBFV" "nu" "cost" "train.cor" "test.cor" "fold"
"463" 6 1 0.7 16 0.9044 0.135175250803984 1
"464" 8 2 0.3 0.5 0.9866 0.135096992447078 2
"465" 5 1 0.8 0.25 0.9258 0.135084079202877 2
"466" 8 2 0.2 16 0.9869 0.134994607966283 2
"467" 6 1 0.7 8 0.9043 0.134913317661603 1
"468" 8 1 0.3 10000 0.9258 0.134830111924953 2
"469" 7 1 0.5 8 0.9082 0.134765280799777 1
"470" 8 1 0.4 512 0.9147 0.134698809769435 1
"471" 5 1 0.5 16 0.926 0.134646463019286 2
"472" 3 1 0.6 0.5 0.9255 0.134582411599217 2
"473" 7 1 0.3 16 0.9067 0.134527515773616 1
