"MABP" "CBFV" "nu" "cost" "train.cor" "test.cor" "fold"
"354" 3 2 0.8 10000 0.9747 0.578465193752103 1
"355" 6 2 0.6 1024 0.9775 0.578420915988967 2
"356" 4 1 0.5 128 0.9217 0.578412201730137 1
"357" 7 2 0.8 64 0.9753 0.578385935161445 1
"358" 3 2 0.9 10000 0.9747 0.57837576977068 1
"359" 3 2 0.8 512 0.9745 0.578345581334898 1
"360" 5 2 0.1 1024 0.9748 0.578339101332377 1
"361" 5 1 0.5 8 0.9214 0.578314236730389 1
"362" 8 3 0.3 10000 0.9773 0.578298990866129 1
"363" 6 2 0.3 1024 0.9774 0.578276380461134 2
"364" 3 2 0.7 8 0.9742 0.578253586754261 1
"365" 3 3 0.4 2 0.9694 0.578192320149107 1
"366" 7 2 0.7 32 0.9752 0.578180721507342 1
"367" 7 2 0.5 32 0.9751 0.578099799857748 1
"368" 6 1 0.1 4 0.9164 0.578060958478132 1
"369" 7 3 0.7 32 0.9772 0.57805692131844 1
"370" 3 2 0.8 128 0.9745 0.578011589979152 1
"371" 3 2 0.9 1024 0.9746 0.577997338314735 1
"372" 7 2 0.4 1024 0.9776 0.577970050599313 2
"373" 6 3 0.3 1024 0.9774 0.57796796822042 1
"374" 4 3 0.6 128 0.977 0.577958818252318 1
"375" 6 1 0.6 4 0.9197 0.577887300445802 1
"376" 3 3 0.1 4 0.9652 0.577870743874488 1
"377" 7 1 0.6 10000 0.92 0.577784916073626 1
"378" 7 1 0.6 32 0.9206 0.577755038935909 1
"379" 7 2 0.4 32 0.9776 0.577733528755307 2
"380" 8 2 0.7 8 0.9744 0.577730335965585 1
"381" 7 2 0.5 64 0.9752 0.577728819023042 1
"382" 7 2 0.7 64 0.9752 0.577709572245498 1
"383" 6 2 0.3 64 0.9774 0.577668953759894 2
"384" 7 2 0.8 512 0.9774 0.577662270602808 2
"385" 6 2 0.6 128 0.9774 0.577641806440749 2
"386" 7 3 0.3 10000 0.9773 0.577599180071857 1
"387" 4 3 0.2 1024 0.9766 0.577598455295093 1
"388" 7 2 0.8 128 0.9775 0.577564843875367 2
"389" 5 1 0.6 8 0.9212 0.577547609481565 1
"390" 4 3 0.6 256 0.977 0.57753203845099 1
"391" 8 2 0.9 8 0.9744 0.57752914993372 1
"392" 8 3 0.6 8 0.9763 0.57749303825081 1
"393" 7 3 0.2 64 0.977 0.577475439809433 1
"394" 8 1 0.1 8 0.9175 0.577464279259279 1
"395" 7 2 0.8 4 0.9773 0.577449492957906 2
"396" 3 3 0.3 1024 0.9769 0.577388439219015 1
"397" 4 1 0.1 128 0.9195 0.577363559815816 1
"398" 3 2 0.7 4 0.9732 0.577349187386197 1
"399" 3 1 0.7 1024 0.9216 0.577308792560885 1
