"MABP" "CBFV" "nu" "cost" "train.cor" "test.cor" "fold"
"351" 6 3 0.7 4 0.9556 0.631899204732791 2
"352" 6 3 0.7 32 0.9559 0.631888781135641 2
"353" 8 2 0.1 2 0.9451 0.631883766018985 2
"354" 6 3 0.8 128 0.956 0.631865864396296 2
"355" 6 1 0.7 1024 0.9307 0.631862945666367 2
"356" 8 3 0.9 0.5 0.9532 0.631788776284238 2
"357" 7 3 0.5 128 0.9559 0.631771924501593 2
"358" 8 1 0.7 0.25 0.9303 0.631708400634062 2
"359" 6 3 0.7 2 0.9551 0.631688314543391 2
"360" 6 3 0.4 0.5 0.9524 0.631679983270297 2
"361" 6 1 0.2 256 0.9305 0.631659060598841 2
"362" 6 3 0.7 128 0.9559 0.631646801820568 2
"363" 6 3 0.8 16 0.9559 0.631642637354993 2
"364" 8 1 0.4 0.5 0.9307 0.631624438006501 2
"365" 8 1 0.3 16 0.931 0.631556465408456 2
"366" 8 3 0.8 1 0.9544 0.631538514793412 2
"367" 8 3 0.9 1024 0.9557 0.631476752106673 2
"368" 7 3 0.5 64 0.9559 0.631454248650501 2
"369" 8 1 0.3 4 0.9309 0.63142172643114 2
"370" 8 3 0.7 1 0.9544 0.631403694117755 2
"371" 6 3 0.9 64 0.9559 0.631402316979995 2
"372" 6 2 0.7 8 0.9465 0.63138591560983 2
"373" 8 3 0.4 1 0.9539 0.631382378677822 2
"374" 6 3 0.7 16 0.9559 0.63136201513871 2
"375" 6 3 0.4 16 0.9558 0.631352325708093 2
"376" 8 3 0.2 1024 0.9557 0.631316044684715 2
"377" 6 2 0.9 2 0.9462 0.631314348889983 2
"378" 8 2 0.3 256 0.9465 0.631293435153886 2
"379" 6 3 0.9 512 0.9559 0.631273214427649 2
"380" 6 3 0.4 32 0.9559 0.631223976714726 2
"381" 6 2 0.8 2 0.9462 0.631178943743612 2
"382" 8 2 0.8 0.25 0.9443 0.631155805123106 2
"383" 6 3 0.4 4 0.9553 0.631144612462453 2
"384" 5 3 0.6 8 0.956 0.631138641019101 2
"385" 8 3 0.3 64 0.9559 0.631127780507727 2
"386" 6 3 0.9 128 0.9559 0.631125416337076 2
"387" 6 3 0.5 0.5 0.9525 0.631112434059459 2
"388" 8 2 0.4 8 0.9464 0.631095863830141 2
"389" 6 2 0.7 4 0.9464 0.631095435796066 2
"390" 6 2 0.6 2 0.9462 0.631094553347775 2
"391" 8 3 0.3 8 0.9557 0.631034287281643 2
"392" 6 1 0.7 0.25 0.9303 0.631023967157594 2
"393" 5 2 0.8 16 0.9467 0.631004303258128 2
"394" 6 3 0.4 8 0.9557 0.630983355159123 2
"395" 6 1 0.8 0.25 0.9302 0.630944090952638 2
"396" 6 3 0.8 8 0.9558 0.630860380432343 2
"397" 6 2 0.9 1 0.9459 0.630856791905444 2
"398" 6 1 0.6 0.25 0.9302 0.630852401832667 2
"399" 6 2 0.8 16 0.9466 0.630850586313258 2
"400" 6 2 0.8 32 0.9466 0.630849732149997 2
"401" 6 3 0.9 256 0.9559 0.630849191166345 2
"402" 7 3 0.7 512 0.9559 0.630837044511589 2
"403" 6 2 0.7 16 0.9466 0.630824514822188 2
"404" 6 3 0.7 64 0.9559 0.630776927332193 2
"405" 7 3 0.5 4 0.9555 0.630748415478158 2
"406" 6 3 0.9 32 0.9559 0.630738679132478 2
"407" 8 3 0.8 0.25 0.9499 0.630731216926767 2
"408" 6 3 0.7 8 0.9558 0.630728967570962 2
"409" 8 3 0.3 256 0.9558 0.630687991221657 2
"410" 7 1 0.4 1024 0.9308 0.63062715359848 2
"411" 6 2 0.8 8 0.9466 0.630583180099552 2
"412" 6 3 0.7 1024 0.9559 0.630567357665466 2
"413" 6 3 0.9 16 0.9558 0.630542236409697 2
"414" 7 3 0.7 32 0.9559 0.630505558538506 2
"415" 7 1 0.4 10000 0.9303 0.630495143797699 2
"416" 6 2 0.7 1 0.9459 0.630490297025899 2
"417" 8 2 0.1 1 0.9437 0.630480965171935 2
"418" 6 2 0.9 4 0.9465 0.630438227536196 2
"419" 6 3 0.8 2 0.9551 0.630416041335155 2
"420" 5 2 0.7 64 0.9467 0.630396395932462 2
"421" 6 1 0.3 0.5 0.9304 0.630383063825635 2
"422" 8 3 0.3 16 0.9558 0.630382703254959 2
"423" 7 3 0.5 32 0.9559 0.630373290416666 2
"424" 6 2 0.8 4 0.9465 0.630360102812518 2
"425" 7 3 0.4 64 0.956 0.630353046190185 2
"426" 8 2 0.5 512 0.9466 0.630323711444404 2
"427" 6 2 0.8 1024 0.9466 0.630313130225114 2
"428" 8 1 0.3 8 0.9309 0.630309773642733 2
"429" 7 3 0.7 64 0.9559 0.630297874622677 2
"430" 6 1 0.2 1024 0.9305 0.630290749803659 2
"431" 5 1 0.4 32 0.9311 0.630261459878864 2
"432" 8 2 0.5 64 0.9466 0.630260544340171 2
"433" 6 1 0.2 512 0.9305 0.630253928155271 2
"434" 6 3 0.3 1024 0.9559 0.630250850793677 2
"435" 6 2 0.9 0.5 0.9453 0.630250393325531 2
"436" 6 1 0.2 4 0.9306 0.630238019486265 2
"437" 5 2 0.7 8 0.9466 0.630222831448734 2
"438" 7 3 0.7 256 0.9559 0.630220354975145 2
"439" 6 1 0.9 0.25 0.9302 0.630214451067489 2
"440" 6 2 0.6 1 0.9459 0.630205909097114 2
"441" 5 3 0.7 128 0.956 0.630203320127917 2
"442" 7 3 0.7 128 0.9559 0.630193165611799 2
"443" 6 2 0.7 0.5 0.9455 0.630187838213809 2
"444" 7 3 0.4 128 0.956 0.630184181677746 2
"445" 8 2 0.5 32 0.9465 0.63009160972294 2
"446" 8 3 0.6 0.5 0.9527 0.630083616941752 2
"447" 8 3 0.5 0.25 0.9493 0.630083151912866 2
"448" 8 3 0.9 0.25 0.9503 0.630055847571013 2
"449" 5 3 0.5 4 0.9556 0.630024291224233 2
"450" 5 2 0.7 1024 0.9466 0.630002176160666 2
"451" 6 2 0.7 128 0.9466 0.629995242974947 2
"452" 5 2 0.8 8 0.9467 0.629970012339335 2
"453" 5 3 0.7 32 0.956 0.629955530828325 2
"454" 5 2 0.8 32 0.9467 0.629946534935429 2
"455" 5 2 0.7 16 0.9466 0.629921818076467 2
"456" 5 3 0.7 256 0.956 0.629903095904692 2
"457" 6 2 0.6 0.5 0.9453 0.629875834314615 2
"458" 6 3 0.7 1 0.9542 0.629869894149748 2
"459" 8 2 0.9 0.25 0.9442 0.629867834921385 2
"460" 5 2 0.8 1024 0.9466 0.629866543201218 2
"461" 5 1 0.4 128 0.9311 0.629861429392091 2
"462" 8 2 0.6 0.5 0.9452 0.629854894153643 2
"463" 6 2 0.8 0.5 0.9454 0.629840130973595 2
"464" 7 3 0.4 512 0.956 0.629813147168656 2
"465" 8 3 0.4 0.5 0.9522 0.629793284862947 2
"466" 5 3 0.5 1024 0.9559 0.629792449856866 2
"467" 5 2 0.9 2 0.9464 0.62979142510471 2
"468" 6 2 0.8 64 0.9466 0.629784347023561 2
"469" 7 3 0.4 256 0.956 0.629777320411541 2
"470" 6 3 0.6 0.5 0.9527 0.62976381824564 2
"471" 8 2 0.3 1024 0.9465 0.629760053540384 2
"472" 5 2 0.8 4 0.9466 0.629754678162088 2
"473" 5 3 0.7 512 0.9559 0.629746239430141 2
"474" 6 3 0.4 64 0.956 0.629746127042704 2
"475" 7 3 0.5 16 0.9559 0.629737167118833 2
